source_file,source_role,observed_grain,target_grain,time_handling,primary_operation,aggregation_keys,value_rules,drop_or_exclude_rules,output_name,validation_check
civilian_targeting_events_and_fatalities__country_month_year.csv,feature,event/admin-country-month,country-month-year,monthly already present,sum events and fatalities,"iso3, country, year, month","sum events; sum fatalities; preserve source_dataset count metadata separately if needed","exclude rows with missing iso3 from model-ready output but report them in rejects","clean_civilian_targeting_country_month.csv","one row per iso3-year-month; events and fatalities are nonnegative"
demonstration_events__country_month_year.csv,feature,event/admin-country-month,country-month-year,monthly already present,sum events,"iso3, country, year, month","sum events","exclude rows with missing iso3 from model-ready output but report them in rejects","clean_demonstration_events_country_month.csv","one row per iso3-year-month; events are nonnegative"
political_violence_events_and_fatalities__country_month_year.csv,feature,event/admin-country-month,country-month-year,monthly already present,sum events and fatalities,"iso3, country, year, month","sum events; sum fatalities","exclude rows with missing iso3 from model-ready output but report them in rejects","clean_political_violence_country_month.csv","one row per iso3-year-month; events and fatalities are nonnegative"
who_covid_19_global_daily_data__country_month_year.csv,feature,country-day,country-month-year,derive month from reported date when available; otherwise use existing year/month,monthly rollup,"iso3, country, year, month","sum new_cases; sum new_deaths; max cumulative_cases; max cumulative_deaths","exclude rows with missing iso3 from model-ready output but report them in rejects; keep missing daily new values as zero only after confirming cumulative columns support that interpretation","clean_who_covid_country_month.csv","one row per iso3-year-month; cumulative max is monotonic within country after month sort where source permits"
gdacs_rss_information__country_month_year.csv,feature,event-country-month,country-month-year,monthly already present,event count and severity summary,"iso3, country, year, month","count events; max severity_value; mean severity_value; count by event_type if stable enough","exclude single missing iso3 row from model-ready output but report in rejects","clean_gdacs_country_month.csv","one row per iso3-year-month; event count is positive integer"
views_conflict_forecasts_country_month__country_month_year.csv,feature,country-month,country-month-year,monthly forecast target already present,pass through with renamed forecast fields,"iso3, country, year, month","retain main_mean, main_dich, main_mean_ln; prefix as views_","do not aggregate; preserve country_id/month_id as reference columns or drop from model features after validation","clean_views_conflict_forecasts_country_month.csv","already one row per iso3-year-month"
inform_risk_index_trends__country_month_year.csv,feature,country-year-indicator,country-month-year,annual value carried to all months in that year,pivot indicators wide then month-expand,"iso3, country, year","pivot indicatorid/fullname to stable feature columns using indicatorscore; create month 1-12; add annual_carried_monthly flag","exclude rows with missing iso3; resolve duplicate indicator labels before pivot","clean_inform_risk_country_month.csv","one row per iso3-year-month after month expansion; no duplicate pivoted columns"
whs2026_datadownload_as_of_2026_08_02__country_month_year.csv,feature,country-year-indicator/location,country-month-year,annual value carried to all months in that year,pivot selected indicators wide then month-expand,"iso3, country, year","use numericvalue as feature value; create feature names from indicatorcode plus locationcode/disaggregation when needed; create month 1-12; add annual_carried_monthly flag","exclude comment/display-only fields from modeling; exclude rows without numericvalue from numeric feature output but summarize missingness","clean_whs2026_country_month.csv","one row per iso3-year-month after selected indicator pivot; numeric features parse as numeric"
worldriskindex_trend__country_month_year.csv,feature,country-year-wide-index,country-month-year,annual value carried to all months in that year,month-expand wide annual index,"iso3, country, year","retain numeric WRI columns; prefix as wri_; create month 1-12; add annual_carried_monthly flag","drop duplicate country identifier aliases after validation; keep metadata join separate","clean_worldriskindex_country_month.csv","one row per iso3-year-month after month expansion; all retained WRI fields are numeric"
hdx_colab_download_manifest__country_month_year.csv,metadata,pipeline-manifest,not a feature,not applicable,exclude from model features,not applicable,not applicable,do not load into cleaned feature outputs,metadata_only_hdx_download_manifest.csv,"present only in metadata/reporting outputs"
worldriskindex_meta__country_month_year.csv,metadata,codebook,reference metadata,not applicable,exclude from model features,not applicable,not applicable,use only to interpret WorldRiskIndex variables,metadata_only_worldriskindex_codebook.csv,"present only in metadata/reporting outputs"
